Height,Site,Site2,Block,Tile,Erad.treat,Cage.treat,Initial.oys,Alive,Missing,Dead,Drilled,Boxes,Scars,Uros.on.tile,Notes,Exclude
0.5,Cove,Lanis Beach,6,65,Control,partial,9,5,0,4,3,1,0,3,,no
0.5,Cove,Lanis Beach,6,66,Control,closed,9,8,1,0,0,0,0,0,Two loose,no
0.5,Cove,Lanis Beach,6,67,Control,open,10,0,0,9,5,4,0,0,,no
0.5,Cove,Lanis Beach,7,68,Control,partial,10,5,4,1,0,1,0,0,This cage was lying in the mud,no
0.5,Cove,Lanis Beach,7,69,Control,closed,9,9,0,0,0,0,0,0,,no
0.5,Cove,Lanis Beach,7,70,Control,open,10,0,0,7,7,0,0,1,,no
0.5,Cove,Lanis Beach,8,71,Control,open,8,0,2,6,5,0,1,2,,no
0.5,Cove,Lanis Beach,8,72,Control,closed,10,8,1,1,0,1,0,0,,no
0.5,Cove,Lanis Beach,8,73,Control,partial,10,0,0,10,9,0,1,2,One drilled loose,no
2.5,Cove,Lanis Beach,9,74,Control,partial,10,8,0,2,1,0,1,0,Corrected - 0 not 6 boxes,no
2.5,Cove,Lanis Beach,9,75,Control,open,9,1,3,5,5,0,0,0,,no
2.5,Cove,Lanis Beach,9,76,Control,closed,10,10,0,0,0,0,0,0,One loose alive,no
2.5,Cove,Lanis Beach,10,201,Control,partial,8,0,3,5,5,0,0,0,"Four loose alive, need to reference photo",no
2.5,Cove,Lanis Beach,10,78,Control,closed,10,8,0,2,0,2,0,0,,no
2.5,Cove,Lanis Beach,10,79,Control,open,10,7,2,1,1,0,0,2,Ton of ulva,no
2.5,Cove,Lanis Beach,11,80,Control,closed,10,9,0,1,0,1,0,0,,no
2.5,Cove,Lanis Beach,11,81,Control,partial,10,0,0,10,7,0,3,0,,no
2.5,Cove,Lanis Beach,11,100,Control,open,10,0,1,9,8,1,0,0,Photo'd,no
2.5,Cove,Lanis Beach,12,83,Control,open,10,6,0,4,2,0,2,0,Ton of ulva,no
2.5,Cove,Lanis Beach,12,84,Control,closed,10,7,1,2,1,1,0,3,Exclude?,yes
2.5,Cove,Lanis Beach,12,85,Control,partial,10,1,0,9,6,3,0,3,"One loose alive oyster, missing",no
2.5,Cove,Lanis Beach,13,86,Control,closed,10,10,0,0,0,0,0,0,,no
2.5,Cove,Lanis Beach,13,87,Control,partial,10,2,0,8,4,0,4,0,,no
2.5,Cove,Lanis Beach,13,88,Control,open,10,5,0,5,5,0,0,0,"3 of 5 alive and drill, ulva",no
2.5,Cove,Lanis Beach,14,89,Control,partial,10,7,1,3,2,0,1,1,One loose alive,no
2.5,Cove,Lanis Beach,14,90,Control,open,9,7,0,2,2,0,0,2,One Uro drilling,no
2.5,Cove,Lanis Beach,14,91,Control,closed,10,2,0,8,7,1,0,0,One loose alive,yes
2.5,Cove,Lanis Beach,15,99,Control,partial,7,2,1,4,3,1,0,1,,no
2.5,Cove,Lanis Beach,15,93,Control,open,10,8,0,2,2,0,0,1,,no
2.5,Cove,Lanis Beach,15,94,Control,closed,10,9,0,1,0,0,1,0,,no
2.5,Cove,Lanis Beach,16,95,Control,closed,10,9,1,0,0,0,0,0,,no
2.5,Cove,Lanis Beach,16,96,Control,partial,9,1,3,5,5,0,0,0,"One loose dead, reference photo",no
2.5,Cove,Lanis Beach,16,97,Control,open,9,5,4,0,0,0,0,0,"Lots of ulva, one alive loose",no
1.5,A-south,Aramburu,1,101,Control,partial,10,0,0,10,8,2,0,0,,no
1.5,A-south,Aramburu,1,102,Control,open,10,0,8,2,2,0,0,0,,no
1.5,A-south,Aramburu,1,103,Control,closed,10,8,0,2,2,0,0,3,Tear in screen,yes
1.5,A-south,Aramburu,2,104,Control,closed,10,9,0,1,0,1,0,0,,no
1.5,A-south,Aramburu,2,105,Control,partial,10,1,7,2,1,0,1,0,,no
1.5,A-south,Aramburu,2,106,Control,open,9,0,8,1,1,0,0,0,,no
1.5,A-south,Aramburu,3,107,Control,open,10,0,10,0,0,0,0,0,,no
1.5,A-south,Aramburu,3,108,Control,partial,10,0,9,1,1,0,0,0,Shell fragments,no
1.5,A-south,Aramburu,3,109,Control,closed,10,8,1,1,0,1,0,0,,no
1.5,A-south,Aramburu,4,110,Control,open,10,0,5,5,5,0,0,0,,no
1.5,A-south,Aramburu,4,111,Control,closed,10,10,0,0,0,0,0,0,,no
1.5,A-south,Aramburu,4,112,Control,partial,10,0,6,4,3,0,1,0,,no
1.5,A-south,Aramburu,5,113,Control,open,10,0,5,5,3,1,1,0,,no
1.5,A-south,Aramburu,5,114,Control,partial,10,0,8,2,0,2,0,0,"Mystery live crab, Chela keyed to C. jordani, unless its M. magister (unclear about how many spines to count)",no
1.5,A-south,Aramburu,5,115,Control,closed,10,6,1,3,0,2,1,0,,no
1.5,A-south,Aramburu,6,116,Control,closed,10,9,0,1,0,1,0,0,,no
1.5,A-south,Aramburu,6,117,Control,open,10,0,2,8,5,0,3,0,,no
